Date,P1 : ]0 - 3] kW,P2 : ]3 - 9] kW,P3 : ]9 - 100] kW,P4 : ]100 - 250] kW,P5 : ]250 - 1000] kW,P6 : ]1000 - 12000] kW,P7 : > 12000 kW
20180703,4250323626.0,1993611347.0,7192446540.0,6212820953.0,5327658001.0,54345848067.0,4834949524.0
20180704,4541494299.0,2139745681.0,7695811769.0,6528870086.0,5353092163.0,53590231420.0,5133752298.0
20180705,3974866690.0,1653041448.0,6016816737.0,5389435742.0,5323737076.0,62615707494.0,6279673583.0
20180706,4379458235.0,1927239969.0,6982738092.0,6106529546.0,5672072645.0,59327352831.0,5277874244.0
20180707,4996700378.0,2378105317.0,8541136069.0,7196017718.0,5612696010.0,62939985629.0,5907475787.0
20180708,5044111152.0,2453415967.0,8800831988.0,7340846096.0,5408701865.0,78010539965.0,7995232436.0
20180709,5048371436.0,2418177156.0,8672045246.0,7215091500.0,5306532572.0,89823187192.0,10277582373.0
20180710,4867354799.0,2260574764.0,8117338864.0,6798977412.0,5154577303.0,85781664463.0,9662687753.0
20180711,4721734528.0,2245689017.0,8077901971.0,6758096805.0,5213047799.0,70740261646.0,7031406264.0
20180712,4522773718.0,2161261162.0,7792947789.0,6543749513.0,5079097502.0,59487096096.0,6155711820.0
20180713,4683303846.0,2287084013.0,8214593149.0,6846910969.0,5111711116.0,56955500191.0,6026076214.0
20180714,4582462400.0,2251366468.0,8074909120.0,6705983091.0,4817153635.0,54589720218.0,5540274514.0
20180715,4725788711.0,2360170101.0,8454350192.0,6957526683.0,4817979725.0,58461759378.0,5739613349.0
20180716,4094745791.0,1882260240.0,6752877945.0,5706121267.0,4238556545.0,55104238690.0,5985495605.0
20180717,4370332449.0,1984805604.0,7181195949.0,6146931891.0,5028296017.0,68291236808.0,7038064360.0
20180718,4631590371.0,2276088021.0,8175009810.0,6815369972.0,4938705667.0,53554443812.0,5657788567.0
20180719,4507467722.0,2231843171.0,8012380858.0,6687383920.0,4904560857.0,65348652850.0,7075788695.0
20180720,3799492268.0,1761755670.0,6373617837.0,5502183482.0,4533749103.0,55814545923.0,5545305842.0
20180721,3765437842.0,1616998420.0,5887726112.0,5218929837.0,4927562759.0,55681274584.0,4705614439.0
20180722,4283990777.0,2000751165.0,7215459245.0,6146662959.0,4907507160.0,54786416204.0,3862380360.0
20180723,4750010114.0,2344526911.0,8411481177.0,6957503178.0,4944913813.0,55098340403.0,4348952585.0
20180724,4429803628.0,2199829535.0,7892611084.0,6584332664.0,4698841055.0,48926569125.0,4694626152.0
20180725,4740216817.0,2369692591.0,8482684376.0,6970400896.0,4714096708.0,55782302313.0,4801335817.0
20180726,4609049974.0,2357559855.0,8444998895.0,6915692391.0,4539322000.0,50250226345.0,4708614204.0
20180727,3999034525.0,1976914989.0,7119371250.0,6008890007.0,4412817971.0,57446475536.0,6259183815.0
20180728,3448848753.0,1599852967.0,5797871395.0,5075922720.0,4094071140.0,87393306246.0,10172126203.0
20180729,4081519173.0,2060590955.0,7400282184.0,6212023738.0,4260328106.0,99350715470.0,10053289091.0
20180730,4048994682.0,2037820478.0,7342910483.0,6168082067.0,4271911289.0,74447120260.0,7181507197.0
20180731,3957087041.0,2024841852.0,7289689169.0,6113440589.0,4184300609.0,54265495622.0,5698056743.0
20180801,4366867281.0,2216797136.0,7996456834.0,6524518647.0,4225904694.0,52938365507.0,5298319860.0
20180802,4579953006.0,2385578518.0,8602457435.0,6991622979.0,4393752030.0,61806347634.0,6294169746.0
20180803,4553144059.0,2368795880.0,8535874304.0,6905228377.0,4198118719.0,67720838819.0,7744704236.0
20180804,4499312547.0,2309551192.0,8323260884.0,6733021869.0,4054985784.0,77950866976.0,8406870694.0
20180805,4481562960.0,2356589010.0,8490066118.0,6833190651.0,3947077518.0,71565350717.0,7492145643.0
20180806,4373338114.0,2309492265.0,8491101036.0,6711814325.0,3871752242.0,50657099023.0,4732013842.0
20180807,3777389952.0,1934862728.0,6991576275.0,5802257764.0,3651886066.0,70094751002.0,7757787503.0
